N100 Ratio Engine - Day 13 Edge Cases
======================================================================
ROCE / ROE source cross-checks
Difference threshold: > 5 percentage points
Computed Ratio Engine values are analytical source of truth.
companies.xlsx values are source/display reference only.
======================================================================

ROCE ANOMALY | company=ABB | year=2024-03 | calculated=38.4188 | source=46.0000 | difference=7.5812 | category=version difference
ROCE ANOMALY | company=ADANIGREEN | year=2024-03 | calculated=9.7976 | source=96.5000 | difference=86.7024 | category=version difference
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=BAJAJ-AUTO | year=2019-03 | computed=22.2536 | source=33.5000 | difference=11.2464 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=BAJAJ-AUTO | year=2020-03 | computed=23.4487 | source=33.5000 | difference=10.0513 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=BAJAJ-AUTO | year=2021-03 | computed=18.0258 | source=33.5000 | difference=15.4742 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=BAJAJ-AUTO | year=2022-03 | computed=17.5405 | source=33.5000 | difference=15.9595 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=BAJAJ-AUTO | year=2023-03 | computed=21.9257 | source=33.5000 | difference=11.5743 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,303 | WARNING | ROCE anomaly | company=BAJAJ-AUTO | year=2024-03 | computed=28.3896 | source=33.5000 | difference=5.1104 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJFINSV | year=2014-03 | computed=15.5835 | source=21.1400 | difference=5.5565 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJFINSV | year=2015-03 | computed=14.7349 | source=21.1400 | difference=6.4051 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJFINSV | year=2016-03 | computed=13.5700 | source=21.1400 | difference=7.5700 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJFINSV | year=2017-03 | computed=13.5226 | source=21.1400 | difference=7.6174 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJFINSV | year=2018-03 | computed=12.5183 | source=21.1400 | difference=8.6217 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJFINSV | year=2019-03 | computed=12.1763 | source=21.1400 | difference=8.9637 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJFINSV | year=2020-03 | computed=11.5182 | source=21.1400 | difference=9.6218 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJFINSV | year=2021-03 | computed=11.9550 | source=21.1400 | difference=9.1850 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJFINSV | year=2022-03 | computed=10.6516 | source=21.1400 | difference=10.4884 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJFINSV | year=2023-03 | computed=11.5467 | source=21.1400 | difference=9.5933 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJFINSV | year=2024-03 | computed=11.7064 | source=21.1400 | difference=9.4336 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJHLDNG | year=2013-03 | computed=3.1126 | source=13.1000 | difference=9.9874 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJHLDNG | year=2014-03 | computed=3.3336 | source=13.1000 | difference=9.7664 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJHLDNG | year=2015-03 | computed=3.6138 | source=13.1000 | difference=9.4862 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJHLDNG | year=2016-03 | computed=2.8052 | source=13.1000 | difference=10.2948 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJHLDNG | year=2017-03 | computed=3.5245 | source=13.1000 | difference=9.5755 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJHLDNG | year=2018-03 | computed=1.4087 | source=13.1000 | difference=11.6913 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJHLDNG | year=2019-03 | computed=1.2875 | source=13.1000 | difference=11.8125 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJHLDNG | year=2020-03 | computed=1.0777 | source=13.1000 | difference=12.0223 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJHLDNG | year=2021-03 | computed=0.9436 | source=13.1000 | difference=12.1564 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJHLDNG | year=2022-03 | computed=0.8544 | source=13.1000 | difference=12.2456 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJHLDNG | year=2023-03 | computed=0.8583 | source=13.1000 | difference=12.2417 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,304 | WARNING | ROCE anomaly | company=BAJAJHLDNG | year=2024-03 | computed=2.8761 | source=13.1000 | difference=10.2239 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,305 | WARNING | ROCE anomaly | company=BAJFINANCE | year=2015-03 | computed=5.5699 | source=11.9000 | difference=6.3301 | category=REVIEW_REQUIRED
